Policy,BuildingLoss,AppurtenantLoss,ContentLoss,AleLoss,TotalLoss
1,11543090.865975623164,81616.749193526683,0.000000000000,0.000000000000,11624707.615169149846
10,0.000000000000,19501.254706510842,0.000000000000,0.000000000000,19501.254706510842
100,0.000000000000,756854.812476030359,0.000000000000,0.000000000000,756854.812476030359
1000,2234301.133213883985,13176.466087796906,680.286906674077,0.000000000000,2248157.886208354968
10000,10117624.119941063723,0.000000000000,0.000000000000,0.000000000000,10117624.119941063723
10001,2894903.315737050633,0.000000000000,0.000000000000,0.000000000000,2894903.315737050633
10002,545196.936978551217,0.000000000000,0.000000000000,0.000000000000,545196.936978551217
10003,15422503.016493086482,110534.107311387309,0.000000000000,0.000000000000,15533037.123804473791
10004,9023996.813005274215,0.000000000000,114345.566863653822,0.000000000000,9138342.379868928037
10005,3666997.713114346076,5692.236596202723,0.000000000000,0.000000000000,3672689.949710548799
10006,2810092.834508003348,0.000000000000,123164.120276331449,0.000000000000,2933256.954784334797
10007,16334406.514870328445,235091.416209850611,0.000000000000,0.000000000000,16569497.931080179056
10008,6578381.359697610028,0.000000000000,0.000000000000,0.000000000000,6578381.359697610028
10009,3223487.612428672964,0.000000000000,0.000000000000,0.000000000000,3223487.612428672964
1001,2638139.935242310085,0.000000000000,24463.538126578630,0.000000000000,2662603.473368888715
10010,10911819.734509689716,92540.104547387812,0.000000000000,0.000000000000,11004359.839057077528
10011,7583339.759468376535,0.000000000000,0.000000000000,0.000000000000,7583339.759468376535
10012,3568957.960861734547,15430.923621114255,19971.135082007113,0.000000000000,3604360.019564855915
10013,11096115.949402398929,507819.332997354117,0.000000000000,0.000000000000,11603935.282399753046
10014,27167850.452209310330,0.000000000000,0.000000000000,0.000000000000,27167850.452209310330
10015,25834895.686822850841,299479.077180649128,37977.802705835981,0.000000000000,26172352.566709335950
10016,24823810.984751644031,0.000000000000,0.000000000000,0.000000000000,24823810.984751644031
10017,26404502.486269460209,8645.793307640726,0.000000000000,0.000000000000,26413148.279577100935
10018,89317223.354339238809,608583.242073850342,115493.749184477624,0.000000000000,90041300.345597566775
10019,31474488.733327334634,0.000000000000,0.000000000000,0.000000000000,31474488.733327334634
1002,0.000000000000,84786.102978607167,0.000000000000,0.000000000000,84786.102978607167
10020,31445662.664509239037,0.000000000000,249074.303379892801,0.000000000000,31694736.967889131838
10021,135748214.506077049868,607756.260144463703,130279.651637448975,0.000000000000,136486250.417858962537
10022,121276494.326177790157,0.000000000000,0.000000000000,0.000000000000,121276494.326177790157
10023,154553563.966075215387,220453.815792619731,0.000000000000,0.000000000000,154774017.781867835118
10024,131894187.671072602148,327554.457546450971,24459.610148384169,0.000000000000,132246201.738767437288
10025,922826090.605854041292,581376.277445238653,1375837.971592811323,0.000000000000,924783304.854892091302
10026,185570857.739754596652,567612.381629064054,211197.107826944598,0.000000000000,186349667.229210605306
10027,129048275.783973069469,277264.429493773240,72245.971404415592,0.000000000000,129397786.184871258301
10028,426373724.135456919874,0.000000000000,0.000000000000,0.000000000000,426373724.135456919874
10029,67274717.357256541021,77906.792260263235,0.000000000000,0.000000000000,67352624.149516804253
1003,3240196.879490530676,17592.159056904822,0.000000000000,0.000000000000,3257789.038547435498
10030,28705630.071056776711,261346.047292494235,0.000000000000,0.000000000000,28966976.118349270946
10031,21696279.006133090956,0.000000000000,0.000000000000,0.000000000000,21696279.006133090956
10032,0.000000000000,70816.350949294601,0.000000000000,0.000000000000,70816.350949294601
10033,0.000000000000,477738.812195631205,0.000000000000,0.000000000000,477738.812195631205
10034,6102679.382698063321,27167.062669177572,5382.708531079193,0.000000000000,6135229.153898320086
10035,6102679.382698063321,27167.062669177572,5382.708531079193,0.000000000000,6135229.153898320086
10036,24813872.995775810088,0.000000000000,0.000000000000,0.000000000000,24813872.995775810088
10037,7281029.454550654152,29939.982017488121,6561.806258241982,0.000000000000,7317531.242826384254
10038,7281029.454550654152,29939.982017488121,6561.806258241982,0.000000000000,7317531.242826384254
10039,7281029.454550654152,29939.982017488121,6561.806258241982,0.000000000000,7317531.242826384254
1004,2276472.278392638625,8697.420890981741,1527.782166981182,0.000000000000,2286697.481450601548
10040,7281029.454550654152,29939.982017488121,6561.806258241982,0.000000000000,7317531.242826384254
10041,0.000000000000,3145.201391288903,0.000000000000,0.000000000000,3145.201391288903
10042,17584662.943689320027,135080.477597711149,0.000000000000,0.000000000000,17719743.421287031177
10043,111435907.916191086253,478649.333044651517,0.000000000000,0.000000000000,111914557.249235737771
10044,169698494.911236319676,6737709.555366901748,0.000000000000,0.000000000000,176436204.466603221430
10045,174120127.280869098890,0.000000000000,0.000000000000,0.000000000000,174120127.280869098890
10046,9363080.794302933195,0.000000000000,0.000000000000,0.000000000000,9363080.794302933195
10047,9558134.855132764747,10434.898880914978,0.000000000000,0.000000000000,9568569.754013679725
10048,10759221.254124364705,0.000000000000,0.000000000000,0.000000000000,10759221.254124364705
10049,11467796.089397229184,132375.205131151379,0.000000000000,0.000000000000,11600171.294528380564
1005,11910646.965343916495,0.000000000000,49750.201964731165,0.000000000000,11960397.167308647660
10050,9135204.917053623160,99966.185134584213,824.327150928727,0.000000000000,9235995.429339136100
10051,9135204.917053623160,99966.185134584213,824.327150928727,0.000000000000,9235995.429339136100
10052,9135204.917053623160,99966.185134584213,824.327150928727,0.000000000000,9235995.429339136100
10053,3571706.933783808062,0.000000000000,0.000000000000,0.000000000000,3571706.933783808062
10054,11304430.924192213181,46278.418682020438,0.000000000000,0.000000000000,11350709.342874233619
